ObjectID,GlobalID,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,fa70945c-c880-4d8f-930b-0bbf29cbf68b,6.9,0.26,Yes,No,No,4f5e36ac-0738-4092-9ae6-ec513bb71c68,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
2,efb33e2f-1c7b-4e9d-ad34-c602e4e7d7a9,2.15,0.39,Yes,No,No,4f5e36ac-0738-4092-9ae6-ec513bb71c68,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
3,2c75602e-7916-4514-93d3-787d4b78e953,4.25,0.15,No,No,No,fdc5c6aa-37ed-4264-8422-0fe9b484e14b,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
4,ce49345f-2c9c-435e-b6a9-a580e98070f0,3.57,0.3,No,No,No,fdc5c6aa-37ed-4264-8422-0fe9b484e14b,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
5,01cbef73-37fd-418c-932e-5e5b9566c6ad,3.9,0.32,Yes,No,No,42219535-8088-48c9-a99b-20a42c756e7a,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
6,f62fbdb6-f124-4833-b348-52ae98105608,3.6,0.44,No,No,No,42219535-8088-48c9-a99b-20a42c756e7a,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
7,6072d45c-1fac-40e8-8a41-7dd6bf1efe87,3.2,0.5,Yes,Yes,No,ce422173-9268-4213-bdca-b1775f76aac0,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
8,06d7aac7-4872-4bfb-a708-c1acecfb8bd4,3,0.18,No,No,No,ce422173-9268-4213-bdca-b1775f76aac0,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
9,5e6a13d8-64ec-46f2-a3ea-da4965b88407,4.25,0.25,Yes,Yes,Yes,ce422173-9268-4213-bdca-b1775f76aac0,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
10,49fe2631-f6bc-42df-bbd4-32ae5f9f19cb,6,0.36,Yes,Yes,Yes,ce422173-9268-4213-bdca-b1775f76aac0,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
11,afd8c6dc-1ad4-47fd-a492-75d845ae78ac,5.5,0.25,No,No,No,ce422173-9268-4213-bdca-b1775f76aac0,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
12,da9cf7b0-3a50-4613-82f7-fd4f7d246b93,5,0.26,No,No,Yes,da178170-8c70-4486-9f73-e28439dd5b0a,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
13,26c4fe8c-4bc0-4b1c-aebf-62a5baeb217d,3.75,0.54,Yes,Yes,No,f7fa1fe0-32f5-4475-ac85-ac264b190a0a,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
14,1737886c-34b3-4d9e-aa40-d99b1bbf1013,2,0.35,Yes,No,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
15,d795ba04-fe8b-4934-9471-c07a35e0d75c,1.9,0.3,Yes,Yes,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
16,3857b3bc-2d5c-4a35-8498-136c3da1b39a,9.55,0.17,Yes,Yes,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
17,63a6208f-b84c-4005-92c0-fa8fa324d22d,4.85,0.25,Yes,Yes,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
18,2de73854-484d-4f05-827a-f4d07830719a,3.6,0.16,Yes,Yes,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
19,b0dfe2ba-79ba-46c1-b854-b6ae95a0b61d,1.8,0.41,Yes,Yes,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
20,9b3597a1-a21c-40f0-b858-c1a28191b3b4,7.5,0.3,Yes,No,Yes,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
21,63f1ab57-49d1-4f7e-a31b-7a165c9ac4a3,1.5,0.15,Yes,No,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
22,3cc7ab59-5f08-4da8-bc4c-ee99654025ad,1.6,0.27,Yes,Yes,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
23,76d9253e-5317-4a62-b224-a8542153492a,2,0.7,Yes,Yes,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
24,bbb4359c-dfe1-48bb-a68b-d392868fa39d,2.1,0.2,Yes,No,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
25,1d103218-7bb9-4e36-8422-feb9b99688fd,2.25,0.3,Yes,No,No,139b4900-da9a-4c83-b006-fe804c0551d6,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
26,6e87c79a-c4a9-40dc-b942-07ddfb583a8d,6,0.3,Yes,No,No,d52f86bc-a8bf-41f0-afaf-4fc5272ad92b,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
