ObjectID,GlobalID,Tape Distance (m),Station Depth (m),Station Velocity (m/s),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,8ce038d3-4f12-4c79-9cda-6557d6104ad8,0,0,0,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
2,fa4a61c9-2d36-4cc3-bfe7-8786535a57cd,1,0.3,0.25,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
3,54d13379-3f8a-434e-935d-a5ff467795e7,2,0.32,0.136,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
4,d8f620bc-56f7-45a5-b951-6023776a142c,3,0.46,0.467,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
5,66f4ee90-efed-4eae-8bb5-eb10b28f4b18,4,0.45,0.655,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
6,80772cc3-d983-40ab-bc64-78fba276c746,5,0.53,0.748,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
7,a7f7c369-cb7f-4074-8c23-d859c2f8efcb,6,0.62,0.737,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
8,95a26162-8928-41e2-bd15-61720f9d2f0a,7,0.5,0.984,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
9,f9f6b760-71e1-4ab4-a1dc-45a09b33624f,8,0.44,0.386,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
10,28d18773-30b3-47a5-a6cb-53891e230bf2,9,0.35,0.633,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
11,17ab1133-0c6c-4f35-a53d-b53d03df29c3,10,0.5,0.753,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
12,a7a9c3f0-64f9-4059-9710-3a067e44b018,11,0.48,0.81,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
13,09ef2656-415f-4ced-95d8-7655ebd5d085,12,0.46,0.863,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
14,6d9f53ea-1389-4147-a37b-b316841fd222,13,0.36,0.908,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
15,1ee14754-13f2-4973-a6da-1bc55e69eeaa,14,0.35,0.664,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
16,2d1073c2-992e-4517-a7bd-34833c303763,15,0.15,0.389,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
17,cf1db042-0df4-46ab-a055-997421e7e14d,15.8,0,0,26b08963-d4dc-4ae8-8059-a7f38ef60951,7/23/2022 21:09,mhe_mackerman,7/23/2022 21:09,mhe_mackerman
